SALES ,CLICKS,IMPS,Avg POS
0,3,140,24.7
0,3,136,24.4
0,5,280,13.5
0,12,598,11.4
0,14,869,8.9
0,19,855,9.7
1,21,822,9.9
0,12,634,11
0,7,594,11.5
0,7,635,9.4
0,9,371,11.9
0,12,325,13
0,3,310,12.6
0,6,349,13.3
0,12,473,12.5
0,9,542,11.3
0,9,454,11.6
0,11,526,11.9
0,9,501,10.7
0,10,433,11.1
0,9,392,12.7
0,1,353,13.5
0,4,590,14.6
0,8,261,16.6
0,2,198,17.6
0,3,233,16
0,3,181,15
0,9,366,13
0,1,126,13.8
0,2,135,14.1
0,2,121,13.7
0,5,128,15
0,1,108,14
0,3,122,14.1
0,3,176,12.9
0,12,139,12.9
1,5,164,14.1
0,10,307,10.6
0,8,261,11.2
0,10,266,11.2
0,7,306,11.4
0,5,297,11.2
0,14,347,10.4
0,6,310,10.4
0,8,397,11.2
1,3,265,12.3
0,10,310,9.7
0,15,417,10.1
0,11,495,10.4
0,11,397,10.9
0,9,560,9.3
1,16,585,9.2
1,12,503,9.4
0,24,545,9.2
1,20,646,7.9
1,43,1022,4.8
0,131,2571,2.1
0,22,636,4.9
0,6,246,11.2
0,3,305,11.1
0,4,271,10
0,11,327,10.5
0,8,332,10.8
0,10,396,10.3
0,10,263,12.1
0,8,152,12.9
0,8,220,11.9
0,5,173,12
0,4,222,11.3
0,7,284,11.2
0,3,252,11.5
0,7,210,12.2
0,1,3,1.3
0,1,2,1
0,1,1,1
0,4,147,4
0,4,224,4.1
0,3,161,3.9
0,8,181,3.6
0,7,162,3.4
0,3,131,3.4
0,6,132,3.6
0,3,119,3.6
0,6,194,3.6
0,16,237,3.6
1,9,242,3.1
0,3,211,3.7
0,2,177,3.7
0,5,164,3.7
0,4,167,4
0,6,286,3.7
0,9,233,3.4
0,6,205,3.6
1,5,204,3.7
0,13,257,3.1
0,3,204,3.1
0,5,231,3.2
0,8,493,2.8
0,18,381,2.9
0,14,367,3.4
0,9,356,2.9
0,11,375,2.9
0,9,400,3
0,12,285,3.1
0,10,389,2.7
0,14,369,2.8
0,5,302,4.4
0,4,222,7.4
0,1,168,7.3
0,1,142,7
1,1,159,6.8
0,1,196,5.6
0,6,273,5.4
0,8,281,6.1
0,4,205,6.2
1,6,190,5.8
0,6,232,5.3
0,7,205,5.6
0,6,229,6.7
0,6,259,6.2
0,6,311,5.1
0,2,326,5.2
0,12,320,5.1
0,4,222,6.1
0,3,179,7.4
0,12,321,5.5
0,7,336,5.3
0,2,224,6.8
0,2,185,7.1
0,3,186,6.7
0,6,174,7.1
0,5,192,7.2
0,1,156,7.4
0,3,106,8.1
0,1,3,22.3
0,2,57,9.4
0,2,78,8
0,1,53,8.8
0,1,55,9.9
0,4,84,8
0,1,42,9.9
0,1,74,7.9
0,4,66,7.8
0,2,83,7.5
0,3,87,7.2
0,2,108,9.7
0,2,94,6.6
0,2,71,7.8
0,2,143,5.5
0,3,266,4.5
0,4,234,4.3
0,6,249,5
0,4,246,5.7
0,6,189,5.7
0,5,226,5.3
0,2,192,6
0,3,188,6.9
0,3,192,6.8
0,2,159,6.1
0,5,220,6
1,7,183,5.1
0,16,564,1.4
0,20,559,1.4
0,26,652,1.3
0,6,158,6.5
0,1,109,7.4
0,3,132,7.3
0,1,82,7.3
0,3,77,7.2
0,2,113,7.2
0,2,146,6.9
0,3,190,6.4
0,1,113,6.9
0,1,100,7.4
0,5,102,7.8
0,6,83,7.5
0,4,137,7.6
0,1,95,7.4
0,1,85,6.7
0,2,103,8
